,total functional wiring,characteristic length,average node degree,argmax node degree,binarized average clustering,density,binarized small-worldness,max node betweenness,argmax node betweenness,label
477,2459.279,1.21,42.4014,Right Middle Cingulate Cortex,0.878,0.79,1.0955,0.0178,Cerebellar Vermis,1
478,1961.906,1.29,33.826,Right Lingual Gyrus,0.813,0.71,1.1462,0.0313,Right Lingual Gyrus,1
479,2685.212,1.194,46.2968,Right SMA,0.895,0.806,1.1063,0.0314,Right Precuneus,1
480,1519.811,1.401,26.2036,Right Middle Cingulate Cortex,0.744,0.6,1.2158,0.0406,Right Middle Cingulate Cortex,1
481,1820.966,1.315,31.396,Left Cerebellum,0.789,0.685,1.1799,0.0253,Left Cerebellum,1
482,2835.971,1.144,48.8961,Left Cerebellum,0.924,0.857,1.0796,0.0203,Left Cerebellum,1
483,1839.498,1.285,31.7155,Right SMA,0.822,0.716,1.1214,0.018,Right Hippocampus,1
484,1304.527,1.461,22.4918,Right Cerebellum,0.687,0.54,1.2639,0.0432,Right Cerebellum,1
485,1577.772,1.387,27.203,Right Lingual Gyrus,0.744,0.613,1.2167,0.0438,Right Lingual Gyrus,1
486,1552.655,1.386,26.7699,RightPrecentral Gyrus,0.746,0.614,1.1988,0.033,Right Cerebellum,1
487,1025.004,1.549,17.6725,Right Cerebellum,0.623,0.452,1.3814,0.0651,Right Cerebellum,1
488,2044.184,1.238,35.2446,Left Cerebellum,0.842,0.762,1.1119,0.0189,Left Cerebellum,1
489,1108.831,1.532,19.1178,Left Precuneus,0.626,0.468,1.2844,0.0326,Right Middle Cingulate Cortex,1
490,1484.003,1.407,25.5863,Right Postcentral Gyrus,0.728,0.593,1.2142,0.027,Right Middle Cingulate Cortex,1
491,1446.181,1.409,24.9341,Right SMA,0.706,0.591,1.1788,0.0337,Right Lingual Gyrus,1
492,1481.863,1.405,25.5494,Right SMA,0.749,0.596,1.2458,0.0479,Right Cerebellum,1
493,1177.919,1.501,20.309,Right Cerebellum,0.624,0.499,1.2491,0.0458,Right Cerebellum,1
494,983.232,1.57,16.9523,Right SMA,0.603,0.433,1.4004,0.0343,Right SMA,1
495,870.441,1.606,15.0076,Left Cuneus,0.534,0.395,1.3043,0.032,Left Cuneus,1
496,2412.554,1.187,41.5958,Left Hippocampus,0.882,0.813,1.0988,0.0284,Right Cerebellum,1
497,2174.047,1.219,37.4836,Right SMA,0.848,0.781,1.1008,0.041,Right SMA,1
498,1266.866,1.475,21.8425,Right Lingual Gyrus,0.661,0.525,1.2409,0.0369,Right Lingual Gyrus,1
499,1344.356,1.451,23.1785,Right SMA,0.684,0.549,1.2487,0.0465,Right SMA,1
500,3743.956,1.038,64.551,Right Middle Cingulate Cortex,0.975,0.962,1.0187,0.0098,Right Paracentral Lobule,1
501,1029.288,1.561,17.7463,Right Middle Cingulate Cortex,0.577,0.44,1.3409,0.0267,Left Middle Occipital Gyrus,1
502,862.946,1.61,14.8784,Left Cerebellum,0.523,0.391,1.3555,0.0316,Right Precuneus,1
503,1196.096,1.502,20.6224,Cerebellar Vermis,0.641,0.499,1.2976,0.0275,Cerebellar Vermis,1
504,1366.57,1.436,23.5615,Left Cerebellum,0.693,0.564,1.2177,0.0452,Left Cerebellum,1
505,1036.245,1.55,17.8663,Right Cerebellum,0.592,0.451,1.3336,0.0342,Left Cerebellum,1
506,1587.336,1.38,27.3679,Cerebellar Vermis,0.77,0.621,1.2308,0.0351,Cerebellar Vermis,1
507,1445.863,1.405,24.9287,Left Inferior Temporal Gyrus,0.734,0.595,1.2348,0.0279,Right Paracentral Lobule,1
508,1536.536,1.388,26.492,Right Cerebellum,0.737,0.612,1.2001,0.0313,Right Cerebellum,1
509,1233.089,1.481,21.2602,Left Cerebellum,0.656,0.519,1.282,0.04,Left Cerebellum,1
510,1107.656,1.535,19.0975,Left Middle Occipital Gyrus,0.598,0.465,1.3044,0.0601,Left Middle Occipital Gyrus,1
511,1473.684,1.421,25.4083,Left Lingual Gyrus,0.706,0.579,1.2336,0.031,Right Middle Cingulate Cortex,1
512,1980.569,1.297,34.1477,Right Middle Cingulate Cortex,0.817,0.703,1.1794,0.0278,Right Middle Cingulate Cortex,1
513,1548.774,1.413,26.703,Left Cerebellum,0.72,0.587,1.2743,0.027,Left Cerebellum,1
514,1249.467,1.488,21.5425,Cerebellar Vermis,0.66,0.512,1.2965,0.0532,Cerebellar Vermis,1
515,1268.361,1.479,21.8683,Right Thalamus,0.682,0.522,1.323,0.0368,Right Cerebellum,1
516,1177.916,1.501,20.3089,Right SMA,0.653,0.499,1.321,0.0297,Right SMA,1
517,3714.349,1.047,64.0405,Right Middle Cingulate Cortex,0.974,0.953,1.0263,0.0171,Right Cerebellum,1
518,1357.573,1.443,23.4064,Right Superior Medial Gyrus,0.711,0.557,1.3021,0.0333,Right Superior Temporal Gyrus,1
519,1131.237,1.523,19.5041,Right Hippocampus,0.638,0.479,1.325,0.0426,Cerebellar Vermis,1
520,2413.11,1.168,41.6053,Right SMA,0.892,0.832,1.0876,0.025,Right SMA,1
521,1349.893,1.478,23.274,Left Precuneus,0.671,0.523,1.2762,0.0198,Cerebellar Vermis,1
522,1463.092,1.405,25.2257,Cerebellar Vermis,0.74,0.595,1.25,0.0438,Right Middle Cingulate Cortex,1
523,2122.642,1.225,36.5973,Right Cerebellum,0.852,0.775,1.0902,0.0294,Right SMA,1
524,1462.138,1.418,25.2093,Right Cerebellum,0.713,0.582,1.2303,0.0534,Right Cerebellum,1
525,2100.21,1.26,36.2105,Right Thalamus,0.837,0.74,1.1175,0.0522,Right Thalamus,1
526,1305.318,1.464,22.5055,Right Middle Cingulate Cortex,0.675,0.536,1.2395,0.0372,Right Fusiform Gyrus,1
527,1311.234,1.467,22.6075,Left Cerebellum,0.671,0.533,1.2311,0.0355,Right SMA,1
528,1157.284,1.516,19.9532,Right Cerebellum,0.641,0.488,1.351,0.0273,Right Middle Cingulate Cortex,1
529,1683.729,1.363,29.0298,Left Middle Occipital Gyrus,0.78,0.637,1.2378,0.0343,Right Middle Cingulate Cortex,1
530,1771.468,1.344,30.5425,Right Cerebellum,0.789,0.657,1.2095,0.0351,Right Cerebellum,1
531,1243.954,1.489,21.4475,Left ParaHippocampal Gyrus,0.64,0.511,1.2423,0.0339,Right Thalamus,1
532,1295.517,1.482,22.3365,Right SMA,0.673,0.519,1.2882,0.0406,Right SMA,1
533,2842.015,1.135,49.0003,Right Hippocampus,0.925,0.866,1.0648,0.018,Right Cerebellum,1
534,1474.654,1.423,25.4251,Left Superior Parietal Lobule ,0.709,0.577,1.2096,0.0293,Right Superior Frontal Gyrus,1
535,1023.531,1.543,17.6471,Right Hippocampus,0.6,0.457,1.3016,0.0349,Right Cerebellum,1
536,1986.24,1.292,34.2455,Left Cerebellum,0.819,0.708,1.1835,0.0381,Left Cerebellum,1
537,1539.781,1.394,26.5479,Right Cerebellum,0.737,0.606,1.2022,0.0349,Left Cerebellum,1
538,1206.463,1.493,20.8011,Right Cerebellum,0.664,0.507,1.3131,0.0368,Right Middle Cingulate Cortex,1
539,1253.76,1.466,21.6166,Right Cerebellum,0.682,0.536,1.2676,0.0333,Right Cerebellum,1
540,1570.5,1.376,27.0776,Right Cerebellum,0.739,0.624,1.1746,0.0281,Right Lingual Gyrus,1
541,1139.456,1.526,19.6458,Right Middle Cingulate Cortex,0.647,0.475,1.3231,0.032,Right Middle Cingulate Cortex,1
542,2348.086,1.172,40.4842,Right Middle Cingulate Cortex,0.882,0.828,1.0741,0.0255,Right Cerebellum,1
543,1636.404,1.365,28.2139,Right Paracentral Lobule,0.77,0.636,1.2369,0.0625,Right Paracentral Lobule,1
544,1538.437,1.408,26.5248,Right SMA,0.717,0.592,1.1907,0.0301,Right Cerebellum,1
545,2164.694,1.225,37.3223,Right Thalamus,0.854,0.775,1.0783,0.0221,Left Precentral Gyrus,1
546,1609.361,1.376,27.7476,Left Cerebellum,0.771,0.625,1.25,0.0398,Left Cerebellum,2
547,1862.866,1.318,32.1184,Right SMA,0.808,0.689,1.1613,0.0265,Left Middle Occipital Gyrus,2
548,1236.941,1.514,21.3266,Left Middle Occipital Gyrus,0.658,0.488,1.3358,0.0264,Right Thalamus,2
549,1330.688,1.448,22.9429,Right Precuneus,0.701,0.552,1.2487,0.0351,Right Precuneus,2
550,1119.923,1.528,19.309,Right Cerebellum,0.606,0.473,1.2851,0.0441,Right Precuneus,2
551,1042.641,1.555,17.9766,Right Cerebellum,0.606,0.446,1.345,0.0387,Right SMA,2
552,2208.915,1.216,38.0847,RightPrecentral Gyrus,0.865,0.784,1.1076,0.0409,Left Cerebellum,2
553,1057.799,1.534,18.2379,Right Lingual Gyrus,0.617,0.467,1.2491,0.0296,Left Middle Occipital Gyrus,2
554,1345.615,1.459,23.2003,Right Cerebellum,0.688,0.542,1.2706,0.0429,Right Cerebellum,2
555,1163.698,1.505,20.0638,Right Middle Cingulate Cortex,0.645,0.495,1.3153,0.0323,Right Cerebellum,2
556,1532.227,1.373,26.4177,Right Superior Frontal Gyrus,0.754,0.628,1.2176,0.0307,Right SMA,2
557,916.022,1.59,15.7935,Right Anterior Cingulate Cortex,0.55,0.41,1.314,0.0378,Right SMA,2
558,1185.207,1.505,20.4346,Left Cerebellum,0.615,0.496,1.2071,0.0233,Right Superior Medial Gyrus,2
559,1487.168,1.422,25.6408,Right Cerebellum,0.715,0.578,1.2567,0.0319,RightPrecentral Gyrus,2
560,1565.759,1.386,26.9958,Right Superior Frontal Gyrus,0.723,0.614,1.1696,0.033,RightPrecentral Gyrus,2
561,1998.534,1.275,34.4575,Right Cerebellum,0.824,0.725,1.1531,0.0285,Right Middle Cingulate Cortex,2
562,1660.795,1.373,28.6344,Left Cerebellum,0.755,0.627,1.1907,0.0354,Right SMA,2
563,1447.907,1.436,24.9639,Right Cerebellum,0.711,0.564,1.2729,0.0252,Left Temporal Pole,2
564,1390.743,1.432,23.9783,Left Cerebellum,0.689,0.568,1.2357,0.033,RightPrecentral Gyrus,2
565,1425.613,1.443,24.5795,Left Cerebellum,0.702,0.567,1.2253,0.0421,Left Cerebellum,2
566,2351.629,1.225,40.5453,Left Hippocampus,0.874,0.775,1.1111,0.0284,Left Cerebellum,2
567,1139.462,1.509,19.6459,Right Cerebellum,0.619,0.491,1.2792,0.0256,Right SMA,2
568,955.834,1.583,16.4799,RightPrecentral Gyrus,0.572,0.418,1.3491,0.0307,Right Middle Cingulate Cortex,2
569,1056.393,1.553,18.2137,Right Inferior Temporal Gyrus,0.595,0.447,1.352,0.0243,Right Cerebellum,2
570,1820.28,1.333,31.3841,Cerebellar Vermis,0.817,0.672,1.2077,0.033,Cerebellar Vermis,2
571,837.226,1.628,14.4349,Left Middle Frontal Gyrus,0.519,0.375,1.3214,0.0243,Right Cerebellum,2
572,2263.115,1.183,39.0192,Right Inferior Temporal Gyrus,0.873,0.817,1.0641,0.0215,Right Middle Cingulate Cortex,2
573,1827.991,1.349,31.5171,Left Middle Occipital Gyrus,0.778,0.651,1.1768,0.0343,Right Cerebellum,2
574,2111.845,1.231,36.4111,Right Middle Cingulate Cortex,0.858,0.769,1.1021,0.0288,Right Middle Cingulate Cortex,2
575,957.35,1.583,16.506,Left Cerebellum,0.581,0.418,1.3809,0.033,Left Cerebellum,2
576,1944.168,1.273,33.5201,Right Cerebellum,0.82,0.727,1.13,0.0288,Right Cerebellum,2
577,1411.091,1.445,24.3292,Right Fusiform Gyrus,0.707,0.556,1.2795,0.0244,Right Fusiform Gyrus,2
578,1726.475,1.34,29.7668,Right Cerebellum,0.78,0.66,1.1682,0.0299,Right Cerebellum,2
579,1687.762,1.352,29.0993,Cerebellar Vermis,0.773,0.649,1.1887,0.0288,Right SMA,2
580,1232.853,1.492,21.2561,Left Superior Temporal Gyrus,0.652,0.508,1.292,0.0268,Left Superior Temporal Gyrus,2
581,1115.258,1.528,19.2286,Left Fusiform Gyrus,0.613,0.472,1.3178,0.0345,Right Middle Cingulate Cortex,2
582,3167.196,1.069,54.6068,Right SMA,0.948,0.931,1.0273,0.0241,Left Cerebellum,2
583,1206.37,1.492,20.7995,Right Precuneus,0.655,0.509,1.2525,0.0221,Left Middle Occipital Gyrus,2
584,1358.306,1.455,23.4191,Right SMA,0.69,0.546,1.2665,0.0464,Left Middle Occipital Gyrus,2
585,740.302,1.674,12.7638,Cerebellar Vermis,0.489,0.327,1.4812,0.0484,Cerebellar Vermis,2
586,1274.477,1.481,21.9737,Right Lingual Gyrus,0.673,0.52,1.3056,0.0456,Right SMA,2
587,2931.323,1.122,50.5401,Left Superior Temporal Gyrus,0.934,0.878,1.0636,0.0491,Right Cerebellum,2
588,1195.891,1.509,20.6188,Right Hippocampus,0.639,0.491,1.32,0.0359,Right Superior Medial Gyrus,2
589,1803.641,1.351,31.0973,Left Superior Temporal Gyrus,0.755,0.649,1.1588,0.0659,Right SMA,2
590,1994.617,1.285,34.3899,Right Cerebellum,0.827,0.715,1.1568,0.0293,Right Cerebellum,2
591,2700.647,1.127,46.5629,Left Cerebellum,0.92,0.873,1.0527,0.0169,Right Middle Cingulate Cortex,2
592,1934.413,1.269,33.3519,Right SMA,0.838,0.731,1.1559,0.0252,Right Cerebellum,2
593,1431.361,1.417,24.6786,Right Superior Frontal Gyrus,0.718,0.583,1.2583,0.0488,Right Superior Frontal Gyrus,2
594,1378.307,1.432,23.7639,Right Inferior Temporal Gyrus,0.696,0.569,1.2042,0.0301,Right Lingual Gyrus,2
595,1010.604,1.568,17.4242,Left Cerebellum,0.602,0.432,1.3783,0.0319,Right Cerebellum,2
596,1368.366,1.454,23.5925,Left Cerebellum,0.69,0.546,1.2178,0.041,Cerebellar Vermis,2
597,1697.238,1.354,29.2627,Right Hippocampus,0.761,0.646,1.1778,0.0392,Left Hippocampus,2
598,1376.404,1.443,23.7311,Right Middle Cingulate Cortex,0.694,0.557,1.2645,0.0462,Right SMA,2
599,2634.481,1.162,45.4221,Left Cerebellum,0.903,0.838,1.0647,0.0267,Cerebellar Vermis,2
600,1093.748,1.544,18.8577,Right Precuneus,0.6,0.457,1.3524,0.0568,Right Precuneus,2
601,2256.383,1.252,38.9031,Right Cerebellum,0.826,0.749,1.1015,0.0317,Right Cerebellum,2
602,1567.406,1.401,27.0242,Right Inferior Temporal Gyrus,0.714,0.599,1.1887,0.0305,Right Thalamus,2
603,1721.997,1.353,29.6896,Right Inferior Frontal Gyrus (p. Triangularis),0.785,0.648,1.2028,0.0212,Right SMA,2
604,1685.145,1.347,29.0542,Right Middle Cingulate Cortex,0.789,0.653,1.2029,0.0273,Right Middle Cingulate Cortex,2
605,903.881,1.615,15.5842,Right Middle Cingulate Cortex,0.559,0.391,1.4561,0.0319,Right Cerebellum,2
606,2623.173,1.145,45.2271,Right SMA,0.909,0.855,1.0456,0.02,Right Precuneus,2
607,1637.381,1.379,28.2307,Left Middle Temporal Gyrus,0.741,0.621,1.1804,0.0325,Right Postcentral Gyrus,2
608,1876.33,1.32,32.3505,Right Temporal Pole,0.792,0.68,1.1604,0.0384,Right Cerebellum,2
609,2720.48,1.148,46.9048,Right Cerebellum,0.918,0.852,1.0699,0.0206,Right Hippocampus,2
610,1417.614,1.415,24.4416,Right Hippocampus,0.72,0.585,1.2367,0.0413,Right Hippocampus,2
611,2437.718,1.168,42.0296,Left Cerebellum,0.897,0.832,1.0926,0.025,Right SMA,2
612,1513.707,1.417,26.0984,Right SMA,0.71,0.583,1.1922,0.0374,Right Cerebellum,2
613,2000.264,1.267,34.4873,Right SMA,0.831,0.733,1.1512,0.024,Right SMA,2
614,1032.128,1.571,17.7953,Right Inferior Temporal Gyrus,0.574,0.431,1.3261,0.0453,Right Middle Cingulate Cortex,2
615,1928.171,1.293,33.2443,Left Superior Occipital Gyrus,0.811,0.707,1.1218,0.0211,Right Precuneus,2
616,1388.202,1.427,23.9345,Right SMA,0.705,0.574,1.1933,0.0363,Right SMA,2
617,1390.066,1.431,23.9666,Left Cerebellum,0.707,0.57,1.2305,0.0412,Left Cerebellum,2
618,1734.794,1.318,29.9102,Right Middle Cingulate Cortex,0.803,0.682,1.1933,0.0293,Right Middle Cingulate Cortex,2
619,1823.61,1.286,31.4415,Right Middle Temporal Gyrus,0.816,0.714,1.1267,0.0345,Right Middle Temporal Gyrus,2
620,1856.451,1.315,32.0078,Right SMA,0.804,0.686,1.1792,0.0278,Right Middle Cingulate Cortex,2
621,1053.574,1.57,18.1651,Right Precuneus,0.586,0.432,1.3852,0.0322,Right Precuneus,2
622,1964.381,1.284,33.8686,Right Middle Temporal Gyrus,0.826,0.716,1.1625,0.0287,Right Mid Orbital Gyrus,2
623,1406.848,1.436,24.256,Left Cerebellum,0.705,0.564,1.2608,0.0235,Right Inferior Temporal Gyrus,2
624,1250.89,1.491,21.5671,Right Paracentral Lobule,0.665,0.51,1.2624,0.0316,Right Paracentral Lobule,2
625,1850.456,1.309,31.9044,Left Cerebellum,0.8,0.691,1.1368,0.0352,Left Cerebellum,2
626,1153.074,1.517,19.8806,Left Fusiform Gyrus,0.661,0.486,1.3982,0.0368,Right Cerebellum,2
627,1912.065,1.278,32.9666,Left Precentral Gyrus,0.825,0.723,1.1401,0.0294,Right Cerebellum,2
628,3090.972,1.137,53.2926,Right SMA,0.942,0.863,1.1072,0.0331,Right Cerebellum,2
629,1209.615,1.495,20.8554,Right Cerebellum,0.624,0.505,1.2429,0.0412,Right Cerebellum,2
630,2519.492,1.199,43.4395,Left Precuneus,0.874,0.801,1.0911,0.0325,Right Superior Temporal Gyrus,2
631,1963.573,1.311,33.8547,Right SMA,0.805,0.689,1.1856,0.0211,Right Fusiform Gyrus,2
632,1728.697,1.364,29.8051,Left Precuneus,0.747,0.636,1.1778,0.0278,Right Cerebellum,2
633,2182.683,1.253,37.6325,Left Cerebellum,0.853,0.747,1.148,0.0223,Left Precuneus,2
634,3273.894,1.139,56.4464,Right Cuneus,0.936,0.861,1.0827,0.0221,Right Fusiform Gyrus,2
635,1995.853,1.304,34.4113,Left Cerebellum,0.811,0.696,1.161,0.0278,Left Middle Temporal Gyrus,2
636,1731.431,1.36,29.8523,Left Precuneus,0.754,0.641,1.1697,0.0267,Left Middle Occipital Gyrus,2
637,957.273,1.584,16.5047,Left Cerebellum,0.544,0.416,1.2897,0.0272,Right Superior Medial Gyrus,2
638,1265.403,1.492,21.8173,Left Inferior Occipital Gyrus,0.642,0.508,1.2824,0.0348,Right Cerebellum,2
639,2846.058,1.156,49.07,Left Fusiform Gyrus,0.905,0.844,1.0822,0.0168,Left Cerebellum,2
640,1929.23,1.294,33.2626,Left Cerebellum,0.799,0.706,1.1408,0.0241,Left Thalamus,2
641,1687.773,1.364,29.0995,Right Lingual Gyrus,0.779,0.636,1.2338,0.0302,Right ParaHippocampal Gyrus,2
642,1374.032,1.456,23.6902,Right Anterior Cingulate Cortex,0.68,0.544,1.2094,0.0258,Right Inferior Frontal Gyrus (p. Orbitalis),2
643,1400.259,1.436,24.1424,Right Inferior Temporal Gyrus,0.699,0.564,1.2347,0.0439,Left Cerebellum,2
644,1377.866,1.434,23.7563,Right Precuneus,0.695,0.566,1.1845,0.0311,Left Cerebellum,2
645,2674.437,1.147,46.111,Left Cerebellum,0.903,0.853,1.0481,0.0441,Left Cerebellum,2
646,2544.972,1.127,43.8788,Right Cerebellum,0.914,0.873,1.0446,0.0214,Right Middle Cingulate Cortex,2
647,2656.887,1.147,45.8084,Left Amygdala,0.916,0.853,1.0718,0.0174,Cerebellar Vermis,2
648,2399.901,1.179,41.3776,Right Cerebellum,0.885,0.821,1.0729,0.0151,RightPrecentral Gyrus,2
649,1765.999,1.321,30.4483,Right Middle Cingulate Cortex,0.804,0.679,1.1597,0.0406,Left Cerebellum,2
650,1069.253,1.549,18.4354,Right SMA,0.606,0.452,1.3481,0.0275,Right SMA,2
651,1994.158,1.292,34.382,Left Cerebellum,0.812,0.708,1.1578,0.0296,Left Cerebellum,2
652,2328.931,1.197,40.154,Right SMA,0.865,0.803,1.0933,0.0816,Right SMA,2
653,3169.975,1.101,54.6547,RightPrecentral Gyrus,0.936,0.899,1.0386,0.0323,Left Cerebellum,1
654,1081.211,1.546,18.6416,Left Hippocampus,0.573,0.454,1.2618,0.0366,Left Hippocampus,1
655,2156.358,1.242,37.1786,Right Cerebellum,0.844,0.758,1.1035,0.0326,Right Middle Cingulate Cortex,1
656,1654.185,1.345,28.5204,Left Cerebellum,0.77,0.655,1.1523,0.0236,Right Middle Cingulate Cortex,1
657,2922.24,1.106,50.3835,Right Middle Cingulate Cortex,0.941,0.894,1.0427,0.0166,Right Thalamus,1
658,1837.852,1.297,31.6871,Right Middle Cingulate Cortex,0.801,0.703,1.1508,0.0256,Right Middle Cingulate Cortex,1
659,1966.975,1.273,33.9134,Left Cerebellum,0.802,0.727,1.1163,0.038,Left Cerebellum,1
660,1876.939,1.324,32.361,Right Postcentral Gyrus,0.777,0.676,1.1335,0.0207,Left Cerebellum,1
661,1730.515,1.335,29.8365,Left Cerebellum,0.777,0.665,1.1697,0.0246,Left Cerebellum,1
662,1766.825,1.334,30.4625,RightPrecentral Gyrus,0.78,0.666,1.1643,0.0302,Left Cerebellum,1
663,2270.741,1.216,39.1507,Left Putamen,0.861,0.784,1.1005,0.0304,Right Cerebellum,1
664,1157.868,1.515,19.9632,Left Putamen,0.61,0.485,1.3205,0.0255,Right Anterior Cingulate Cortex,1
665,1670.941,1.354,28.8093,Right Cerebellum,0.76,0.646,1.1765,0.0395,Right Cerebellum,2
666,2616.427,1.161,45.1108,Right Cerebellum,0.905,0.839,1.0676,0.0243,RightPrecentral Gyrus,2
667,1704.672,1.349,29.3909,Right Temporal Pole,0.751,0.651,1.1581,0.0296,Right Temporal Pole,2
668,2558.337,1.166,44.1093,Right Middle Cingulate Cortex,0.917,0.834,1.1018,0.0363,Right Mid Orbital Gyrus,2
669,2555.863,1.159,44.0666,Right Hippocampus,0.9,0.841,1.0831,0.0171,Right Cerebellum,2
670,2355.431,1.216,40.6109,Right SMA,0.866,0.784,1.1271,0.0334,Right Cerebellum,2
671,2948.66,1.065,50.839,Left Amygdala,0.952,0.935,1.0033,0.0183,Left Cerebellum,2
672,1058.276,1.529,18.2461,Left Hippocampus,0.638,0.472,1.3672,0.0323,Left Hippocampus,2
673,1514.861,1.374,26.1183,Right SMA,0.741,0.626,1.1764,0.0299,Right Cerebellum,2
674,1916.293,1.278,33.0395,RightPrecentral Gyrus,0.812,0.722,1.1091,0.0241,Right Cerebellum,2
675,1393.385,1.444,24.0239,Left Cerebellum,0.7,0.556,1.2454,0.0549,Left Cerebellum,2
676,2336.172,1.18,40.2788,Left Cerebellum,0.888,0.82,1.0796,0.029,Left Cerebellum,2
677,1129.676,1.54,19.4772,Cerebellar Vermis,0.635,0.461,1.3708,0.0426,Left Cerebellum,2
678,2981.194,1.14,51.3999,Right Middle Cingulate Cortex,0.933,0.86,1.072,0.0233,Left Cerebellum,1
679,1940.322,1.293,33.4538,Right Cerebellum,0.804,0.707,1.1196,0.0348,Right Cerebellum,1
680,3048.206,1.118,52.5553,Right Precuneus,0.927,0.882,1.0493,0.0218,Right Cerebellum,1
681,1808.388,1.358,31.1791,Right Middle Cingulate Cortex,0.758,0.642,1.1953,0.0238,Left Superior Temporal Gyrus,1
682,2298.943,1.214,39.6369,Left Superior Temporal Gyrus,0.873,0.786,1.0884,0.0212,Left Inferior Temporal Gyrus,1
683,1186.603,1.486,20.4587,Left Middle Occipital Gyrus,0.665,0.514,1.2987,0.0343,Left Cerebellum,1
684,1688.101,1.354,29.1052,Left Superior Temporal Gyrus,0.76,0.646,1.195,0.0343,Left Superior Temporal Gyrus,1
685,2402.326,1.239,41.4194,Right Middle Cingulate Cortex,0.841,0.761,1.1132,0.0313,Right Cerebellum,1
686,2049.107,1.27,35.3294,Left Thalamus,0.806,0.73,1.0837,0.0339,Right Lingual Gyrus,1
687,1343.827,1.46,23.1694,Right SMA,0.669,0.54,1.2603,0.0249,Right SMA,1
688,1151.632,1.515,19.8557,Right Thalamus,0.62,0.485,1.2817,0.0252,Right Thalamus,1
689,2017.362,1.291,34.7821,Left Cerebellum,0.822,0.709,1.1527,0.024,Right ParaHippocampal Gyrus,1
690,1692.421,1.341,29.1797,Left Thalamus,0.775,0.659,1.1532,0.0285,Left Cerebellum,1
691,2002.578,1.264,34.5272,Right Lingual Gyrus,0.835,0.736,1.1295,0.02,Right Lingual Gyrus,1
692,933.343,1.592,16.0921,Left Cerebellum,0.568,0.41,1.3133,0.0455,Left Cerebellum,1
693,1039.432,1.55,17.9212,Left Cerebellum,0.598,0.453,1.3778,0.0273,Left Cerebellum,1
694,1203.782,1.489,20.7549,Left Middle Occipital Gyrus,0.65,0.512,1.2524,0.0268,Left Middle Occipital Gyrus,1
695,1655.84,1.361,28.549,Right Amygdala,0.758,0.639,1.171,0.0301,Right Middle Cingulate Cortex,1
696,1509.289,1.399,26.0222,Left Thalamus,0.742,0.601,1.234,0.0264,Left Middle Occipital Gyrus,1
697,1385.123,1.44,23.8814,Right Middle Cingulate Cortex,0.679,0.56,1.2137,0.0413,Right Middle Cingulate Cortex,1
698,2195.825,1.228,37.8591,Right Superior Frontal Gyrus,0.846,0.772,1.0826,0.0218,Right Superior Frontal Gyrus,1
699,1212.349,1.503,20.9026,Right Cerebellum,0.655,0.499,1.2932,0.0394,Right Cerebellum,1
700,1667.217,1.351,28.7451,Left Inferior Temporal Gyrus,0.762,0.649,1.1857,0.0383,Left Inferior Temporal Gyrus,1
701,1210.664,1.499,20.8735,Right Middle Cingulate Cortex,0.625,0.501,1.2483,0.033,Right Cerebellum,1
702,1565.427,1.414,26.9901,Left Cerebellum,0.683,0.586,1.1721,0.0293,Left Cerebellum,1
703,816.139,1.623,14.0714,Left Cerebellum,0.492,0.377,1.2772,0.0226,Right Middle Cingulate Cortex,1
704,1406.176,1.425,24.2444,Left Cerebellum,0.709,0.575,1.2097,0.042,Right Middle Cingulate Cortex,1
705,2744.324,1.165,47.3159,Right Temporal Pole,0.91,0.835,1.0936,0.0241,Right Hippocampus,1
706,998.187,1.569,17.2101,Right Cerebellum,0.576,0.431,1.3586,0.0366,Right Cerebellum,1
707,832.353,1.619,14.3509,Right Lingual Gyrus,0.542,0.382,1.408,0.0253,Right Temporal Pole,1
708,1667.566,1.357,28.7511,Right Precuneus,0.772,0.643,1.1834,0.0238,Right Cerebellum,1
709,834.523,1.621,14.3883,Left Cerebellum,0.529,0.381,1.4567,0.0275,Left Cerebellum,1
710,1251.738,1.482,21.5817,Right Cerebellum,0.682,0.52,1.3171,0.0439,Right Cerebellum,1
711,792.974,1.647,13.672,Right Olfactory cortex,0.496,0.354,1.4108,0.0288,Right Cerebellum,1
712,1306.261,1.463,22.5217,Left ParaHippocampal Gyrus,0.67,0.537,1.2838,0.025,Left Cerebellum,1
713,1439.847,1.419,24.8249,Right Middle Cingulate Cortex,0.712,0.581,1.2389,0.0334,Left Precuneus,1
714,1808.194,1.305,31.1758,Right Cerebellum,0.808,0.695,1.1587,0.0285,Right Lingual Gyrus,1
715,2223.753,1.227,38.3406,Right Inferior Temporal Gyrus,0.859,0.773,1.1054,0.0209,Left Hippocampus,2
716,3482.344,1.05,60.0404,Left Lingual Gyrus,0.965,0.95,1.0184,0.0121,Left Cerebellum,2
717,1731.051,1.347,29.8457,Left Precentral Gyrus,0.784,0.653,1.2013,0.0322,Right Middle Temporal Gyrus,2
718,890.577,1.601,15.3548,Right Precuneus,0.536,0.399,1.3072,0.0392,Right Precuneus,2
719,2010.501,1.272,34.6638,Right Lingual Gyrus,0.818,0.728,1.1112,0.0319,Cerebellar Vermis,2
720,1912.061,1.329,32.9666,Left Cerebellum,0.788,0.671,1.1769,0.0625,Left Cerebellum,2
